"book_id"	"title"	"author"	"description"	"genres"	"first_publish_year"	"editions"	"num_pages"	"cover_m"	"cover_l"	"average_rating"	"rating_count"	"id_goodreads"	"id_amazon"
"OL262554W"	"The Complete Sherlock Holmes [4 novels, 56 stories]"	"Arthur Conan Doyle"	"Contains:   - [Adventures of Sherlock Holmes](https://openlibrary.org/works/OL262421W/The_Adventures_of_Sherlock_Holmes)  [Scandal in Bohemia](https://openlibrary.org/works/OL14930611W/A_Scandal_in_Bohemia) [Red-Headed League](https://openlibrary.org/works/OL262476W/The_Red-Headed_League) [Case of Identity](https://openlibrary.org/works/OL14929939W/A_Case_of_Identity) [Boscombe Valley Mystery](https://openlibrary.org/works/OL18495288W/The_Boscombe_Valley_Mystery) [Five Orange Pips](https://openlibrary.org/works/OL1518120W/Five_Orange_Pips) [Man with the Twisted Lip](https://openlibrary.org/works/OL14930258W/Man_With_the_Twisted_Lip) [Adventure of the Blue Carbuncle](https://openlibrary.org/works/OL1518317W/Adventure_of_the_Blue_Carbuncle) [Adventure of the Speckled Band](https://openlibrary.org/works/OL262561W/Adventure_of_the_Speckled_Band) [Adventure of the Engineer's Thumb](https://openlibrary.org/works/OL1518318W/Adventure_of_the_Engineer's_Thumb) [Adventure of the Noble Bachelor](https://openlibrary.org/works/OL14929841W/Adventure_of_the_Noble_Bachelor) [Adventure of the Beryl Coronet](https://openlibrary.org/works/OL14929825W/Adventure_of_the_Beryl_Coronet) [Adventure of the Copper Beeches](https://openlibrary.org/works/OL1518116W/Adventure_of_the_Copper_Beeches)   - Case-Book of Sherlock Holmes  - His Last Bow  - [Hound of the Baskervilles](https://openlibrary.org/works/OL262454W)  - [Memoirs of Sherlock Holmes](https://openlibrary.org/works/OL262598W/Memoirs_of_Sherlock_Holmes) [11 stories]  [Silver Blaze](https://openlibrary.org/works/OL1518358W/Silver_Blaze) [Adventure of the Yellow Face](https://openlibrary.org/works/OL20571966W/Adventure_of_the_Yellow_Face) [Adventure of the Stockbroker's Clerk](https://openlibrary.org/works/OL20619319W/Adventure_of_the_Stockbroker's_Clerk) [Adventure of the Gloria Scott](https://openlibrary.org/works/OL20619337W/Adventure_of_the_Gloria_Scott) [Adventure of the Musgrave Ritual](https://openlibrary.org/works/OL20619374W/Adventure_of_the_Musgrave_Ritual) Adventure of the Reigate Squire Crooked Man Adventure of the Resident Patient Adventure of the Greek Interpreter [Naval Treaty](https://openlibrary.org/works/OL14930289W/The_Naval_Treaty) Final Problem   - [Return of Sherlock Holmes](https://openlibrary.org/works/OL262480W/The_Return_of_Sherlock_Holmes)  [Adventure of the Empty House](https://openlibrary.org/works/OL1518119W/The_Adventure_of_the_Empty_House) [Adventure of the Norwood Builder](https://openlibrary.org/works/OL262418W/Adventure_of_the_Norwood_Builder) [Dancing Men](https://openlibrary.org/works/OL262417W/The_Dancing_Men) [Adventure of the Solitary Cyclist](https://openlibrary.org/works/OL1518122W/Adventure_of_the_Solitary_Cyclist) [Adventure of the Priory School](https://openlibrary.org/works/OL1518319W/Adventure_of_the_Priory_School) Black Peter [Adventure of Charles Augustus Milverton](https://openlibrary.org/works/OL20621973W/Adventure_of_Charles_Augustus_Milverton) [Six Napoleons](https://openlibrary.org/works/OL20628495W) [Adventure of the Three Students](https://openlibrary.org/works/OL1518368W/Adventure_of_the_Three_Students) [Adventure of the Golden Pince-Nez](https://openlibrary.org/works/OL18191848W/Adventure_of_the_Golden_Pince-Nez) [Adventure of the Missing Three-Quarter](https://openlibrary.org/works/OL18191816W/Adventure_of_the_Missing_Three_Quarter) [Adventure of the Abbey Grange](https://openlibrary.org/works/OL17084226W/Adventure_of_the_Abbey_Grange) [Second Stain](https://openlibrary.org/works/OL18191864W/Second_Stain)   - [Sign of Four](https://openlibrary.org/works/OL262585W/The_Sign_of_Four)  - [Study in Scarlet](https://openlibrary.org/works/OL16290253W/A_Study_in_Scarlet)  - Valley of Fear"	"['Christmas dinners', 'gold', 'fingerprints', 'carbuncles', 'crime bosses', 'lascars', 'rugby unions', 'scalpels', 'anise', 'History', 'school caps', 'footprints', 'mixed race children', 'convict', 'prime ministers', 'blackmail', 'Second Anglo-Afghan War', 'crime scenes', 'Adventure stories', 'opium', 'Encyclopædia Britannica', 'forges', 'Juvenile fiction', 'Apaces', 'Confederate States Army', 'Sherlock Holmes (Fictitious character)', 'oaks', 'hemoglobin', 'Intestacy', 'aristocracy', 'treasure', 'barques', 'Mystery and Suspense', 'substitution ciphers', 'police inspectors', 'prima donnas', 'broughams', 'poison', 'treaties', 'arrow poisons', 'Literary Fiction', 'penal labour', 'sherlock (fictitious character)', 'English Civil War', 'Detective and mystery fiction', 'meres', 'sailing ships', 'governesses', 'smoke bombs', 'electric blue', 'substance abuse', 'ancestors', 'telegraphy', 'collections & anthologies', 'England', 'tombs', 'attempted murder', 'elms', 'coronets', 'Mystery & Suspense', 'Egyptian cigarettes', 'pennies', 'Mystery fiction', 'horse gaits', 'banks', 'Rhodesian Police', 'wax sculptures', 'horseshoes', 'traps', 'revolvers', 'half-pennies', 'historical fiction', 'Nihilism', 'air guns', 'whist', 'john h. (fictitious character)', 'Classic fiction', 'proofs', 'gemstones', 'secretaries of state', 'Sherlock Holmes', \"\"Fuller's earth\"\", 'Private investigators in fiction', 'Private investigators', 'mires', 'pince-nez glasses', 'asphyxiation', 'riddles', 'stock market', 'general', 'Americans', \"\"Children's fiction\"\", 'baritsu', 'weddings', 'crime', 'extortion', 'Fiction Classics', 'tobacco pipes', 'tors', 'thumbs', 'moorland', 'consumption', 'snow', 'hydraulic presses', 'Juvenile literature', \"\"Children's stories\"\", 'race horses', 'amorality', 'frequency analysis', 'launches', 'beryls', 'Trichinopoly cigars', 'Mystery and detective stories', 'constables', 'burglary', 'British and irish fiction (fictional works by one author)', 'coffee', 'plumbers', 'red hair', 'fiction', 'Scottish Terriers', 'domestic violence', 'counterfeit money', 'crime & mystery fiction', 'anonymity', 'detective fiction', 'Fiction', 'coal tar', 'track spikes', 'lecturers', 'opium dens', 'butlers', 'cabinet cards', 'prospecting', 'scrips', 'English fiction', 'bloguns', 'long jumpers', 'ransoms', 'Ku Klux Klan', 'handwriting', 'Short Stories', 'Justices of the Peace', 'Detective and mystery stories', 'Battle of Maiwand', 'waylaying', 'Indian Rebellion of 1857', 'traditional', 'yellow fever', 'mystery & detective', 'maps', 'bushrangers', 'English literature', 'Classics', 'short stories', 'aortic aneurysm', 'soft-point bullets', 'brandy', 'English Detective and mystery stories', 'detectives in literature', 'novel', 'scholarship', 'redundancy', 'Andamanese', 'brokers', 'Anglo-Saxons', 'jewellery', 'preparatory schools', 'tea plantations', 'English Mastiffs', 'locked-room mysteries', 'FICTION / Classics', 'darkrooms', 'pawnbrokers', 'FICTION / Mystery & Detective / Traditional British', 'crocodiles', 'cattle', 'hanging', \"\"English children's stories\"\", 'kidnapping', 'English Short stories', 'action & adventure', 'stick figures', 'brain fever', 'police', 'private investigators', 'horse racing', 'Romani', 'The Church of Jesus Christ and Latter-day Saints', 'crime novel', 'Action & Adventure Fiction', 'convicts', 'hurdling', 'Honourable Society of the Inner Temple', 'cavaliers', 'tutors', 'pioneers', 'dogs', 'churches', 'Holmes', 'Russians', 'deformities', 'maids', 'tests', 'commissionaires', 'study', 'murder-suicide', 'clerks', 'cottages', 'defrocking', 'English', 'Classic Literature', 'Watson']"	"1900"	119	1122	"https://covers.openlibrary.org/b/id/12501284-M.jpg"	"https://covers.openlibrary.org/b/id/12501284-L.jpg"	4.5	42	"43971157"	"B000N770O4"
"OL472715W"	"The Mysterious Affair at Styles"	"Agatha Christie"	"Set in the summer of 1917 in an Essex country estate, the story follows the war-wounded Captain Arthur Hastings to the Styles St. Mary manor of his friend John Cavendish. The Cavendish household is wrought with tension due to the marriage of John's widowed old aunt Emily, she of a sizeable fortune, to a suspicious younger man, Alfred Inglethorp, twenty years her junior. Emily's two stepsons, John and Lawrence Cavendish, as well as John's wife Mary and several other people, also live at Styles. Late one night, the residents of Styles wake to find Emily Inglethorp dying. When Emily's sudden heart attack is found to be attributable to strychnine, Hastings, who had runs into his old friend, the Belgian Hercule Poirot, he recruits him to aid in the local investigation. With impeccable timing, Hercule Poirot, the insightful retired detective, makes his dramatic entrance to solve a most baffling case.  Who poisoned the wealthy Emily Inglethorpe, and how did the murderer penetrate and escape from her locked bedroom? Suspects abound in the quaint village of Styles St. Mary--from the heiress's fawning new husband to her two stepsons, her volatile housekeeper, and a pretty nurse who works in a hospital dispensary. On the day she was killed, Emily Inglethorp was overheard arguing with someone, most likely her husband, Alfred, or her stepson, John. Afterwards, she seemed quite distressed and, apparently, made a new will--which no one can find. Nobody can explain how or when the strychnine was administered to Mrs. Inglethorp. High on Poirot's list of suspects are: John Cavendish, the elder stepson; Mary Cavendish, his wife; Lawrence Cavendish, the younger stepson; Evelyn Howard, Mrs. Inglethorpe's companion; Cynthia Murdoch, her protegee; and Dr. Bauerstein, a mysterious stranger who lives in Essex. All have motive and opportunity but only Poirot can discover the truth."	"['Tuppence Beresford (Fictitious Character)', 'tuppence (fictitious character)', 'Adult', 'English Detectives', 'fiction', 'Tommy Beresford (Fictitious Character)', 'Mystery Thriller', 'Fiction', 'Books on CD', 'Captain Arthur Hastings (Fictitious Character)', 'Poirot', 'Crime Fiction', 'Private investigators', 'British Literature', 'captain (fictitious character)', 'arthur', 'Beresford', 'Investigation', 'Murder', 'tommy (fictitious character)', 'study and teaching', 'general', 'Mystery', 'Crime', 'Open Library Staff Picks', 'Language and languages', 'traditional', 'thrillers', 'Married people', 'Hastings', 'hercule (fictitious character)', 'Thriller', 'mystery & detective', 'England', 'English literature', 'Classic Literature', 'Hercule Poirot (Fictitious Character)']"	"1920"	1016	222	"https://covers.openlibrary.org/b/id/13699667-M.jpg"	"https://covers.openlibrary.org/b/id/13699667-L.jpg"	3.92	52	"140267"	"B00DGTKXSG"
"OL1833989W"	"Le fantôme de l'opéra"	"Gaston Leroux"	"Christine is brought up by her itinerant musician father, whose death she mourns endlessly. She achieves a singing position in the Paris Opera line, where a mysterious voice teaches her to unleash her musical potential. The voice belongs to Erik, a deformed musical genius who lives in the opera house. As Christine's singing career takes off, her childhood friend Raoul begins to court her, and he and Erik fight jealously for Christine's hand.     [1]: http://litl"	"['Opera de Paris', 'Romance fiction', 'horror', 'Phantom of the opera (fictitious character)', 'Readers', 'fiction', 'Chinese', 'Readers for new literates', 'Reading comprehension', 'France', 'History', 'Fiction', 'Textbooks for foreign speakers', 'English language', 'Musicals', 'Horror stories', 'Translations into English', 'Singers', 'Study and teaching', 'Paris (france)', 'Phantom of the Opera (Fictitious character)', 'French fiction', 'Foreign speakers', 'Musical fiction', 'Juvenile fiction', 'Horror tales', \"\"Children's fiction\"\", 'Adaptations', 'Opera', 'thrillers', 'gothic', 'Psychological fiction', 'Chinese language', 'Composers']"	"1911"	128	274	"https://covers.openlibrary.org/b/id/8245407-M.jpg"	"https://covers.openlibrary.org/b/id/8245407-L.jpg"	3.96	23	"1031449"	"1420954520"
"OL176092W"	"The Moonstone"	"Wilkie Collins"	"One of the first English detective novels, this mystery involves the disappearance of a valuable diamond, originally stolen from a Hindu idol, given to a young woman on her eighteenth birthday, and then stolen again. A classic of 19th-century literature."	"['Anger', 'Chinese speakers', 'History', 'Novela policíaca inglesa', 'William', 'Study and teaching', 'England -- Fiction', 'Country homes', 'Compassion', 'Juvenile fiction', 'Moonstones', 'rachel (fictitious character)', 'Spanish', 'Young women', 'Jewelry theft', 'Zhen tan xiao shuo', 'England', 'Hypnotism', 'Kidnapping', 'nouvelles', 'Mystery fiction', 'etc. pour la jeunesse', 'Manners and customs', 'Chang pian xiao shuo', 'Murder', 'French', 'general', 'Mœurs et coutumes', \"\"Children's fiction\"\", 'Collins', 'crime', 'Country homes -- Fiction', 'Police', 'East Indians -- England -- Fiction', 'Juvenile literature', 'Translations into Russian', 'Swords', 'Histoire', 'Mystery and detective stories', 'Suo xie ben', 'British and irish fiction (fictional works by one author)', 'Social life and customs', 'fiction', 'Children: Grades 4-6', 'Upper class', 'Fiction', 'English language', 'English fiction', 'Wilkie', 'Dictionaries', 'Detective and mystery stories', 'Romance', 'Mystery Crime', 'traditional', 'mystery & detective', 'English literature', 'Thievery', 'Classics', 'Poison', 'English Detective and mystery stories', 'Diamonds', 'General', 'Death', 'Romans', 'Bantam', 'Readers', 'Verinder', 'Police -- England -- Fiction', 'Jewelry theft -- Fiction', 'Vol de bijoux', 'The Moonstone', 'Joy', 'Drama', 'Fear', 'Literature', 'Crime', 'police procedural', 'East Indians', 'English', 'Classic Literature']"	"1868"	636	496	"https://covers.openlibrary.org/b/id/8237041-M.jpg"	"https://covers.openlibrary.org/b/id/8237041-L.jpg"	3.94	18	"3468385"	"B0006C7N0M"
"OL16607146W"	"Throne of Glass"	"Sarah J. Maas"	"Lethal. Loyal. Legendary.  Enter the world of Throne of Glass with the first book in the #1 bestselling series by Sarah J. Maas.  In a land without magic, an assassin is summoned to the castle. She has no love for the vicious king who rules from his throne of glass, but she has not come to kill him. She has come to win her freedom. If she defeats twenty-three murderers, thieves, and warriors in a competition, she will be released from prison to serve as the King’s Champion.  Her name is Celaena Sardothien.  The Crown Prince will provoke her. The Captain of the Guard will protect her. And a princess from a faraway country will befriend her. But something rotten dwells in the castle, and it’s there to kill. When her competitors start dying mysteriously, one by one, Celaena’s fight for freedom becomes a fight for survival—and a desperate quest to root out the evil before it destroys her world."	"['Court and courtiers', 'Fantasy & Magic', 'Prisonniers', 'prince', 'General', 'Romans', 'Love & Romance', 'nyt:trade-fiction-paperback=2024-06-02', 'nouvelles', 'fiction', 'princess', 'collectionID:EanesChallenge', 'king', 'Triangles (Interpersonal relations)', 'Fiction', 'Criminals', 'Action & Adventure', 'JUVENILE FICTION / Action & Adventure / General', 'Assassin', '[series:Throne_of_Glass]', 'Fantasy', 'Roman adolescent anglais', 'killer', 'Investigation', 'Prisoners', 'Juvenile fiction', 'Contests', 'Murder', \"\"Children's fiction\"\", 'Assassins', 'JUVENILE FICTION / Love & Romance', 'lunch', 'Courts and courtiers', 'Amours', 'Cour et courtisans', 'New York Times bestseller', 'Roman fantastique', 'Young adult fiction', 'Concours et compétitions', 'Fantasy fiction', 'Princes', 'JUVENILE FICTION / Fantasy & Magic']"	"2012"	25	432	"https://covers.openlibrary.org/b/id/13312488-M.jpg"	"https://covers.openlibrary.org/b/id/13312488-L.jpg"	4.22	60	"54372750"	"B007N6JEII"
"OL17546674W"	"The Assassin’s Blade"	"Sarah J. Maas"	"Celaena Sardothien owes her reputation to Arobynn Hamel. He gave her a home at the Assassins' Guild and taught her the skills she needed to survive.  Arobynn's enemies stretch far and wide - from Adarlan's rooftops and its filthy dens, to remote islands and hostile deserts. Celaena is duty-bound to hunt them down. But behind her assignments lies a dark truth that will seal her fate - and cut her heart in two forever...  Explore the dark underworld of this kick-ass heroine and find out how the legend begins in the five page-turning prequel novellas to the Throne of Glass series."	"['[series:Throne_of_Glass]', 'Fantasy', 'dark fantasy', 'Fiction', 'Young adult fiction', 'Female assassins in fiction', 'fantasy', 'Assassins', 'collections & anthologies']"	"2014"	15	462	"https://covers.openlibrary.org/b/id/7794980-M.jpg"	"https://covers.openlibrary.org/b/id/7794980-L.jpg"	4.45	11	"36039548"	"B00GO2ISSE"
"OL17718538W"	"Queen of Shadows"	"Sarah J. Maas"	"Everyone Celaena Sardothien loves has been taken from her. But she's at last returned to the empire-for vengeance, to rescue her once-glorious kingdom, and to confront the shadows of her past...  She has embraced her identity as Aelin Galathynius, Queen of Terrasen. But before she can reclaim her throne, she must fight.  She will fight for her cousin, a warrior prepared to die just to see her again. She will fight for her friend, a young man trapped in an unspeakable prison. And she will fight for her people, enslaved to a brutal king and awaiting their lost queen's triumphant return.  Celaena's epic journey has captured the hearts and imaginations of millions across the globe. This fourth volume will hold readers rapt as Celaena's story builds to a passionate, agonizing crescendo that might just shatter her world."	"['Demoniac possession', 'Court', 'YA', 'Royalty', 'Queens', 'Identity', 'fiction', 'Homecoming', 'Magic', 'Fiction', 'Identity (Philosophical concept)', 'Criminals', '[series:Throne_of_Glass]', 'Fantasy', 'Juvenile fiction', 'Rebellion', \"\"Children's fiction\"\", 'Assassins', 'Romance', 'Insurgency', 'High Fantasy', 'Fantasy fiction']"	"2015"	18	672	"https://covers.openlibrary.org/b/id/7994583-M.jpg"	"https://covers.openlibrary.org/b/id/7994583-L.jpg"	4.6	20	"29230682"	"B012BQ4GQE"
"OL17791167W"	"Tower of Dawn"	"Sarah J. Maas"	"Chaol Westfall has always defined himself by his unwavering loyalty, his strength, and his position as the captain of the Guard. But all of that has changed since the glass castle shattered, since his men were slaughtered, since the king of Adarlan spared him from a killing blow, but left his body broken.  His only shot at recovery lies with the legendary healers of the Torre Cesme in Antica - the stronghold of the southern continent's mighty empire. And with war looming over Dorian and Aelin back home, their survival might lie with Chaol and Nesryn convincing its rulers to ally with them.  But what they discover in Antica will change them both - and be more vital to saving Erilea than they could have imagined."	"['YOUNG ADULT FICTION / Action & Adventure / General', 'Queens', 'rulers', 'collectionID:EanesChallenge', 'fiction', 'Magic', 'Healers', 'Fiction', 'Criminals', 'Kings', 'queens', '[series:Throne_of_Glass]', 'Fantasy', 'YOUNG ADULT FICTION / Fantasy / General', 'YOUNG ADULT FICTION / Romance / General', \"\"Children's fiction\"\", 'Assassins', 'Young adult fiction', 'Fantasy fiction', 'Princes', 'Courts and courtiers']"	"2017"	20	679	"https://covers.openlibrary.org/b/id/8506737-M.jpg"	"https://covers.openlibrary.org/b/id/8506737-L.jpg"	4.82	11	"38944516"	"B01N01V56U"
"OL17625829W"	"Empire of Storms"	"Sarah J. Maas"	"The long path to the throne has only just begun for Aelin Galathynius. Loyalties have been broken and bought, friends have been lost and gained, and those who possess magic find themselves at odds with those who don't.  With her heart sworn to the warrior-prince by her side, and her fealty pledged to the people she is determined to save, Aelin will delve into the depths of her power to protect those she loves. But as monsters emerge from the horrors of the past, and dark forces become poised to claim her world, the only chance for salvation will lie in a desperate quest that may mark the end of everything Aelin holds dear.  In this breathtaking fifth installment of the New York Times bestselling Throne of Glass series, Aelin will have to choose what -- and who -- to sacrifice if she's to keep the world of Erilea from breaking apart."	"['Court', 'YA', 'Quest', 'Royalty', 'Queens', 'rulers', 'fiction', 'collectionID:EanesChallenge', 'Magic', 'Fiction', 'JUVENILE FICTION / Action & Adventure / General', 'Kings', 'queens', 'Love', '[series:Throne_of_Glass]', 'Fantasy', 'Juvenile fiction', \"\"Children's fiction\"\", 'Assassins', 'JUVENILE FICTION / Love & Romance', 'Romance', 'etc.', 'High Fantasy', 'Fantasy fiction', 'JUVENILE FICTION / Fantasy & Magic']"	"2016"	18	704	"https://covers.openlibrary.org/b/id/14349313-M.jpg"	"https://covers.openlibrary.org/b/id/14349313-L.jpg"	4.92	13	"29559052"	"B01D3WHZZO"
"OL16809980W"	"Crown of Midnight"	"Sarah J. Maas"	"*She is the greatest assassin her world has ever known. But where will her conscience, and her heart, lead her?*  After a year of hard labor in the Salt Mines of Endovier, eighteen-year-old assassin Celaena Sardothien has won the king's contest to become the new royal assassin. Yet Celaena is far from loyal to the crown – a secret she hides from even her most intimate confidantes.Keeping up the deadly charade-while pretending to do the king's bidding-will test her in frightening new ways, especially when she's given a task that could jeopardize everything she's come to care for. And there are far more dangerous forces gathering on the horizon -- forces that threaten to destroy her entire world, and will surely force Celaena to make a choice. Where do the assassin's loyalties lie, and who is she willing to fight for?"	"['[series:Throne_of_Glass]', 'Fantasy', \"\"Children's fiction\"\", 'Love stories', 'Juvenile fiction', 'etc.', 'Fiction', 'Kings and rulers', 'Criminals', 'rulers', 'Fantasy fiction', 'Courts and courtiers', 'Kings', 'queens', 'fiction', 'Assassins', 'Love']"	"2013"	20	448	"https://covers.openlibrary.org/b/id/14348029-M.jpg"	"https://covers.openlibrary.org/b/id/14348029-L.jpg"	4.7	23	"24273121"	"B00CU7YHQY"
